country,continent,intercept,slope,rse
Cambodia,Asia,37.0154230769231,0.395902797202797,5.63014318176748
Iraq,Asia,50.1134615384616,0.235210489510489,4.05709657090687
"Korea, Dem. Rep.",Asia,54.9056025641026,0.316426573426573,3.88817625812141
China,Asia,47.1904815384616,0.530714853146853,3.85699041346615
